volume_range;filled_volume
(45.5 45.6];7.5
(45.6 45.7];7.5
(45.7 45.8];7.5
(45.8 45.9];7.5
(45.9 46.0];7.5
(46.0 46.1];7.5
(46.1 46.2];7.5
(46.2 46.3];7.5
(46.3 46.4];7.5
(46.4 46.5];7.5
(46.5 46.6];7.5
(46.6 46.7];7.5
(46.7 46.8];7.5
(46.8 46.9];7.5
(46.9 47.0];7.5
(47.0 47.1];7.5
(47.1 47.2];7.5
(47.2 47.3];7.5
(47.3 47.4];7.5
(47.4 47.5];7.5
(47.5 47.6];7.5
(47.6 47.7];7.5
(47.7 47.8];7.5
(47.8 47.9];7.5
(47.9 48.0];7.5
(48.0 48.1];7.5
(48.1 48.2];7.5
(48.2 48.3];7.5
(48.3 48.4];7.5
(48.4 48.5];7.5
(48.5 48.6];7.5
(48.6 48.7];7.5
(48.7 48.8];7.5
(48.8 48.9];7.5
(48.9 49.0];7.5
(49.0 49.1];7.5
(49.1 49.2];7.5
(49.2 49.3];7.5
(49.3 49.4];7.5
(49.4 49.5];7.5
(49.5 49.6];7.5
(49.6 49.7];7.5
(49.7 49.8];7.5
(49.8 49.9];7.5
(49.9 50.0];7.5
(50.0 50.1];1.4
(50.1 50.2];1.4
(50.2 50.3];1.4
(50.3 50.4];1.4
(50.4 50.5];1.4
(50.5 50.6];1.4
(50.6 50.7];1.4
(50.7 50.8];1.4
(50.8 50.9];1.4
(50.9 51.0];1.4
(51.0 51.1];1.4
(51.1 51.2];1.4
(51.2 51.3];1.4
(51.3 51.4];1.4
(51.4 51.5];1.4
(51.5 51.6];1.4
(51.6 51.7];1.4
(51.7 51.8];1.4
(51.8 51.9];1.4
(51.9 52.0];1.4
(52.0 52.1];1.4
(52.1 52.2];1.4
(52.2 52.3];1.4
(52.3 52.4];1.4
(52.4 52.5];1.4
(52.5 52.6];1.3
(52.6 52.7];1.3
(52.7 52.8];1.3
(52.8 52.9];1.3
(52.9 53.0];1.3
(53.0 53.1];1.3
(53.1 53.2];1.3
(53.2 53.3];1.3
(53.3 53.4];1.3
(53.4 53.5];1.3
(53.5 53.6];1.3
(53.6 53.7];1.3
(53.7 53.8];1.3
(53.8 53.9];1.3
(53.9 54.0];1.3
(54.0 54.1];1.3
(54.1 54.2];1.3
(54.2 54.3];1.3
(54.3 54.4];1.3
(54.4 54.5];1.3
(54.5 54.6];1.3
(54.6 54.7];1.3
(54.7 54.8];1.3
(54.8 54.9];1.3
(54.9 55.0];1.3
(55.0 55.1];1.2
(55.1 55.2];1.2
(55.2 55.3];1.2
(55.3 55.4];1.2
(55.4 55.5];1.2
(55.5 55.6];1.2
(55.6 55.7];1.2
(55.7 55.8];1.2
(55.8 55.9];1.2
(55.9 56.0];1.2
(56.0 56.1];1.2
(56.1 56.2];1.2
(56.2 56.3];1.2
(56.3 56.4];1.2
(56.4 56.5];1.2
(56.5 56.6];1.2
(56.6 56.7];1.2
(56.7 56.8];1.2
(56.8 56.9];1.2
(56.9 57.0];1.2
(57.0 57.1];1.2
(57.1 57.2];1.2
(57.2 57.3];1.2
(57.3 57.4];1.2
(57.4 57.5];1.2
(57.5 57.6];1.2
(57.6 57.7];1.2
(57.7 57.8];1.15
(57.8 57.9];1.1
(57.9 58.0];1.1
(58.0 58.1];1.1
(58.1 58.2];1.1
(58.2 58.3];1.1
(58.3 58.4];1.1
(58.4 58.5];1.1
(58.5 58.6];1.1
(58.6 58.7];1.1
(58.7 58.8];1.1
(58.8 58.9];1.1
(58.9 59.0];1.1
(59.0 59.1];1.1
(59.1 59.2];1.1
(59.2 59.3];1.1
(59.3 59.4];1.1
(59.4 59.5];1.1
(59.5 59.6];1.1
(59.6 59.7];1.1
(59.7 59.8];1.1
(59.8 59.9];1.1
